/** Last Update: 02/11/2018; Author: Yuan He (yh772); Platform: Eclipse, Java8 */

Console output for HW2-HP2:

#### HP2: ##################################################################################################

delta t = 0.5
Forward Euler:0.8243606353500641;   Backward Euler:0.4043537731417556;   Original: 1.0
Forward Euler:0.5;   Backward Euler:0.24525296078096154;   Original: 0.6065306597126334
Forward Euler:0.3032653298563167;   Backward Euler:0.1487534400989532;   Original: 0.36787944117144233
Forward Euler:0.18393972058572117;   Backward Euler:0.09022352215774179;   Original: 0.22313016014842982
Forward Euler:0.11156508007421491;   Backward Euler:0.05472333241593253;   Original: 0.1353352832366127
Forward Euler:0.06766764161830635;   Backward Euler:0.03319137891190929;   Original: 0.0820849986238988
Forward Euler:0.0410424993119494;   Backward Euler:0.020131588948212334;   Original: 0.049787068367863944
Forward Euler:0.024893534183931972;   Backward Euler:0.012210425925822785;   Original: 0.0301973834223185
Forward Euler:0.01509869171115925;   Backward Euler:0.007405997692161537;   Original: 0.01831563888873418
Forward Euler:0.00915781944436709;   Backward Euler:0.004491964666056978;   Original: 0.011108996538242306
Forward Euler:0.005554498269121153;   Backward Euler:0.0027245142923093776;   Original: 0.006737946999085467
Forward Euler:0.0033689734995427335;   Backward Euler:0.0016525014511109056;   Original: 0.004086771438464067
Forward Euler:0.0020433857192320333;   Backward Euler:0.0010022927953183816;   Original: 0.0024787521766663585
Forward Euler:0.0012393760883331792;   Backward Euler:6.079213103696774E-4;   Original: 0.0015034391929775724
Forward Euler:7.517195964887862E-4;   Backward Euler:3.687229134318891E-4;   Original: 9.118819655545162E-4
Forward Euler:4.559409827772581E-4;   Backward Euler:2.236417519350079E-4;   Original: 5.530843701478336E-4
Forward Euler:2.765421850739168E-4;   Backward Euler:1.3564557934042944E-4;   Original: 3.3546262790251185E-4
Forward Euler:1.6773131395125593E-4;   Backward Euler:8.227320272445303E-5;   Original: 2.0346836901064417E-4
Forward Euler:1.0173418450532208E-4;   Backward Euler:4.990121992513373E-5;   Original: 1.2340980408667956E-4
Forward Euler:6.170490204333978E-5;   Backward Euler:3.026661984165657E-5;   Original: 7.48518298877006E-5
Forward Euler:3.74259149438503E-5;   Backward Euler:1.8357632899831438E-5;   Original: 4.5399929762484854E-5
Forward Euler:2.2699964881242427E-5;   Backward Euler:1.1134467193497106E-5;   Original: 2.7536449349747158E-5
Forward Euler:1.3768224674873579E-5;   Backward Euler:6.753395732420474E-6;   Original: 1.670170079024566E-5
Forward Euler:8.35085039512283E-6;   Backward Euler:4.096141568885473E-6;   Original: 1.013009359863071E-5
Forward Euler:5.065046799315355E-6;   Backward Euler:2.484435448052447E-6;   Original: 6.14421235332821E-6
Forward Euler:3.072106176664105E-6;   Backward Euler:1.5068862713207028E-6;   Original: 3.726653172078671E-6
Forward Euler:1.8633265860393355E-6;   Backward Euler:9.139727242560563E-7;   Original: 2.2603294069810542E-6
Forward Euler:1.1301647034905271E-6;   Backward Euler:5.543524794023786E-7;   Original: 1.3709590863840845E-6
Forward Euler:6.854795431920422E-7;   Backward Euler:3.362317750452587E-7;   Original: 8.315287191035679E-7
Forward Euler:4.1576435955178394E-7;   Backward Euler:2.039348803345505E-7;   Original: 5.04347662567888E-7
Forward Euler:2.52173831283944E-7;   Backward Euler:1.236927575077319E-7;   Original: 3.059023205018258E-7
Forward Euler:1.529511602509129E-7;   Backward Euler:7.50234498128394E-8;   Original: 1.8553913626159784E-7
Forward Euler:9.276956813079892E-8;   Backward Euler:4.550402250889913E-8;   Original: 1.1253517471925912E-7
Forward Euler:5.626758735962956E-8;   Backward Euler:2.759958479190111E-8;   Original: 6.82560337633487E-8
Forward Euler:3.412801688167435E-8;   Backward Euler:1.6739994371626545E-8;   Original: 4.139937718785167E-8
Forward Euler:2.0699688593925834E-8;   Backward Euler:1.0153319829808419E-8;   Original: 2.510999155743982E-8
Forward Euler:1.255499577871991E-8;   Backward Euler:6.158299774647062E-9;   Original: 1.522997974471263E-8
Forward Euler:7.614989872356315E-9;   Backward Euler:3.735197625024845E-9;   Original: 9.237449661970594E-9
Forward Euler:4.618724830985297E-9;   Backward Euler:2.2655118796633806E-9;   Original: 5.602796437537268E-9
Forward Euler:2.801398218768634E-9;   Backward Euler:1.3741024149590386E-9;   Original: 3.398267819495071E-9
Forward Euler:1.6991339097475355E-9;   Backward Euler:8.334352442578283E-10;   Original: 2.061153622438558E-9


delta t = 1.0
Forward Euler:0.0;   Backward Euler:0.18393972058572117;   Original: 1.0
Forward Euler:0.0;   Backward Euler:0.06766764161830635;   Original: 0.36787944117144233
Forward Euler:0.0;   Backward Euler:0.024893534183931972;   Original: 0.1353352832366127
Forward Euler:0.0;   Backward Euler:0.00915781944436709;   Original: 0.049787068367863944
Forward Euler:0.0;   Backward Euler:0.0033689734995427335;   Original: 0.01831563888873418
Forward Euler:0.0;   Backward Euler:0.0012393760883331792;   Original: 0.006737946999085467
Forward Euler:0.0;   Backward Euler:4.559409827772581E-4;   Original: 0.0024787521766663585
Forward Euler:0.0;   Backward Euler:1.6773131395125593E-4;   Original: 9.118819655545162E-4
Forward Euler:0.0;   Backward Euler:6.170490204333978E-5;   Original: 3.3546262790251185E-4
Forward Euler:0.0;   Backward Euler:2.2699964881242427E-5;   Original: 1.2340980408667956E-4
Forward Euler:0.0;   Backward Euler:8.35085039512283E-6;   Original: 4.5399929762484854E-5
Forward Euler:0.0;   Backward Euler:3.072106176664105E-6;   Original: 1.670170079024566E-5
Forward Euler:0.0;   Backward Euler:1.1301647034905271E-6;   Original: 6.14421235332821E-6
Forward Euler:0.0;   Backward Euler:4.1576435955178394E-7;   Original: 2.2603294069810542E-6
Forward Euler:0.0;   Backward Euler:1.529511602509129E-7;   Original: 8.315287191035679E-7
Forward Euler:0.0;   Backward Euler:5.626758735962956E-8;   Original: 3.059023205018258E-7
Forward Euler:0.0;   Backward Euler:2.0699688593925834E-8;   Original: 1.1253517471925912E-7
Forward Euler:0.0;   Backward Euler:7.614989872356315E-9;   Original: 4.139937718785167E-8
Forward Euler:0.0;   Backward Euler:2.801398218768634E-9;   Original: 1.522997974471263E-8
Forward Euler:0.0;   Backward Euler:1.030576811219279E-9;   Original: 5.602796437537268E-9
Forward Euler:0.0;   Backward Euler:3.7912802139559533E-10;   Original: 2.061153622438558E-9


delta t = 1.5
Forward Euler:-2.2408445351690323;   Backward Euler:0.08925206405937193;   Original: 1.0
Forward Euler:-0.5;   Backward Euler:0.01991482734714558;   Original: 0.22313016014842982
Forward Euler:-0.11156508007421491;   Backward Euler:0.004443598615296923;   Original: 0.049787068367863944
Forward Euler:-0.024893534183931972;   Backward Euler:9.915008706665434E-4;   Original: 0.011108996538242306
Forward Euler:-0.005554498269121153;   Backward Euler:2.2123374805913345E-4;   Original: 0.0024787521766663585
Forward Euler:-0.0012393760883331792;   Backward Euler:4.936392163467183E-5;   Original: 5.530843701478336E-4
Forward Euler:-2.765421850739168E-4;   Backward Euler:1.1014579739898864E-5;   Original: 1.2340980408667956E-4
Forward Euler:-6.170490204333978E-5;   Backward Euler:2.457684941331284E-6;   Original: 2.7536449349747158E-5
Forward Euler:-1.3768224674873579E-5;   Backward Euler:5.483836345536338E-7;   Original: 6.14421235332821E-6
Forward Euler:-3.072106176664105E-6;   Backward Euler:1.2236092820073031E-7;   Original: 1.3709590863840845E-6
Forward Euler:-6.854795431920422E-7;   Backward Euler:2.730241350533948E-8;   Original: 3.059023205018258E-7
Forward Euler:-1.529511602509129E-7;   Backward Euler:6.091991897885052E-9;   Original: 6.82560337633487E-8
Forward Euler:-3.412801688167435E-8;   Backward Euler:1.3593071277980284E-9;   Original: 1.522997974471263E-8
Forward Euler:-7.614989872356315E-9;   Backward Euler:3.033024171164763E-10;   Original: 3.398267819495071E-9


delta t = 2.0
Forward Euler:-7.38905609893065;   Backward Euler:0.045111761078870896;   Original: 1.0
Forward Euler:-1.0;   Backward Euler:0.006105212962911393;   Original: 0.1353352832366127
